z,gpz:z,error,Model Uncertaties,Noise,MAG_AUTO_G_DERED,MAG_AUTO_R_DERED,MAG_AUTO_I_DERED,MAG_AUTO_Z_DERED,MAG_AUTO_Y_DERED
1.1397,0.9045510621503714,-0.2351489929720041,8.166669634741613e-06,0.017467340082342693,22.723745346069336,22.294811248779297,21.696138381958008,21.459312438964844,20.971784591674805
1.0724,1.0233881211463416,-0.04901185272298214,1.7495811361424425e-05,0.010048611011101069,25.259197235107422,23.34006690979004,22.178638458251953,21.208072662353516,21.27121353149414
0.7212,0.6137724260467798,-0.10742756327206782,1.4107580388950786e-05,0.037459048566090676,22.846349716186523,22.17021942138672,22.00554847717285,21.639894485473633,21.52389907836914
0.5632,0.5674704119605645,0.004270415012322282,7.18689970456058e-06,0.002578741484991585,22.58753204345703,20.751333236694336,19.92424964904785,19.567707061767578,19.442445755004883
0.716,0.6546964780201846,-0.0613035424838132,9.292829171221818e-06,0.0035906123877139503,21.638126373291016,20.478727340698242,19.68059539794922,19.365985870361328,19.1717529296875
0.8418,0.8837084431167146,0.04190846867518627,2.2660365854770226e-05,0.022161463064489486,24.258310317993164,23.511993408203125,22.619304656982422,21.976154327392578,24.153966903686523
0.6686,0.8581830552494669,0.18958303245665076,8.666414298830883e-06,0.02425713825362739,23.718730926513672,22.997467041015625,22.33211326599121,21.898900985717773,22.384315490722656
0.9406,0.8838949181547857,-0.05670505981533758,1.1890150292527502e-05,0.012027044436718372,23.57087516784668,22.86785125732422,21.72923469543457,21.257896423339844,20.615299224853516
0.9316,0.8049313651580997,-0.12666860947416347,4.60241066404596e-06,0.004379352727010782,22.675100326538086,21.868854522705078,21.062253952026367,20.73198699951172,20.586259841918945
0.9836,0.9318097245229437,-0.05179029588568662,2.1085586099243623e-05,0.010525900677210672,25.15231704711914,23.747962951660156,22.525602340698242,21.73914337158203,21.982179641723633
0.5257,0.44775276740223735,-0.07794720570414693,2.685399819003039e-05,0.012766313715052402,23.53548812866211,22.38184928894043,22.43462371826172,22.009855270385742,22.750436782836914
0.94,0.8968786347135242,-0.04312136290228996,9.249519933894332e-06,0.009031715831244439,23.41452407836914,22.93954086303711,22.298425674438477,21.986425399780273,21.869163513183594
0.5534,0.5294166701921148,-0.023983309876091985,3.5109271183757265e-06,0.0018097264035256142,22.533113479614258,20.892179489135742,20.162506103515625,19.78183364868164,19.670495986938477
0.5297,0.5660113372936416,0.03631135608102565,5.1072521567642455e-06,0.008107904058545404,23.349201202392578,22.49388885498047,22.178688049316406,22.07889175415039,21.736963272094727
0.1481,0.48866216904352117,0.3405621654434006,2.7087850639192572e-05,0.02716264605608794,20.641550064086914,19.955883026123047,19.647228240966797,19.45672607421875,19.43832015991211
1.0243,0.9263825591880783,-0.09791742002182158,9.587682256420462e-06,0.023275695133590797,23.857906341552734,23.27046012878418,22.503740310668945,21.936683654785156,21.697391510009766
